country,cause_of_death,lyl,cause/risk
Egypt,Self-harm and interpersonal violence,0.08520197,Cause
Egypt,Skin and subcutaneous diseases,0.014403941,Cause
Egypt,Substance use disorders,0.003029557,Cause
Egypt,Tobacco,1.977295552,Risk
Egypt,Transport injuries,0.280290638,Cause
Egypt,Unintentional injuries,0.224527093,Cause
Egypt,Unsafe sex,0.02815271,Risk
Egypt,"Unsafe water, sanitation, and handwashing",0.065389163,Risk
El Salvador,Ambient ozone pollution,0.024417969,Risk
El Salvador,Cardiovascular diseases,3.754015629,Cause
El Salvador,Child and maternal malnutrition,0.372140625,Risk
El Salvador,Childhood sexual abuse and bullying,0.016328125,Cause
El Salvador,Chronic respiratory diseases,0.461148438,Cause
El Salvador,Diabetes and kidney diseases,2.630777345,Cause
El Salvador,Dietary risks,1.657113281,Risk
El Salvador,Digestive diseases,0.913472654,Cause
El Salvador,Drug use,0.114132812,Risk
El Salvador,Enteric infections,0.104464844,Cause
El Salvador,HIV/AIDS and sexually transmitted infections,0.160406249,Cause
El Salvador,High LDL cholesterol,0.787859375,Risk
El Salvador,High alcohol use,0.868878898,Cause
El Salvador,High body-mass index,1.856957034,Risk
El Salvador,High fasting plasma glucose,2.182449221,Risk
El Salvador,High systolic blood pressure,2.27466797,Risk
El Salvador,Intimate partner violence,0.015625,Risk
El Salvador,Kidney dysfunction,2.076453123,Cause
El Salvador,Low bone mineral density,0.098957031,Risk
El Salvador,Low physical activity,0.125175782,Risk
El Salvador,Maternal and neonatal disorders,0.307160156,Cause
El Salvador,Mental disorders,0,Cause
El Salvador,Musculoskeletal disorders,0.029042969,Cause
El Salvador,Neglected tropical diseases and malaria,0.015023437,Cause
El Salvador,Neoplasms,2.183023442,Cause
El Salvador,Neurological disorders,0.545593752,Cause
El Salvador,Non-optimal temperature,0.103636718,Cause
El Salvador,Nutritional deficiencies,0.09790625,Cause
El Salvador,Occupational risks,0.127664062,Risk
El Salvador,Other environmental risks,0.488484375,Risk
El Salvador,Other infectious diseases,0.041605469,Cause
El Salvador,Other non-communicable diseases,0.391859375,Cause
El Salvador,PM2.5 relative to WHO guideline,2.19,Risk
El Salvador,Respiratory infections and tuberculosis,3.877222653,Cause
El Salvador,Self-harm and interpersonal violence,1.868382798,Cause
El Salvador,Skin and subcutaneous diseases,0.036347656,Cause
El Salvador,Substance use disorders,0.362664059,Cause
El Salvador,Tobacco,0.547574216,Risk
El Salvador,Transport injuries,0.575386715,Cause
El Salvador,Unintentional injuries,0.381609373,Cause
El Salvador,Unsafe sex,0.343996095,Risk
El Salvador,"Unsafe water, sanitation, and handwashing",0.104464844,Risk
Equatorial Guinea,Ambient ozone pollution,0.020523622,Risk
Equatorial Guinea,Cardiovascular diseases,4.455232299,Cause
Equatorial Guinea,Child and maternal malnutrition,1.075354328,Risk
Equatorial Guinea,Childhood sexual abuse and bullying,0.002015748,Cause
Equatorial Guinea,Chronic respiratory diseases,0.33892126,Cause
Equatorial Guinea,Diabetes and kidney diseases,1.356665347,Cause
Equatorial Guinea,Dietary risks,1.215956694,Risk
Equatorial Guinea,Digestive diseases,0.559818893,Cause
Equatorial Guinea,Drug use,0.093602362,Risk
Equatorial Guinea,Enteric infections,0.237724408,Cause
Equatorial Guinea,HIV/AIDS and sexually transmitted infections,3.654850419,Cause
Equatorial Guinea,High LDL cholesterol,0.49553937,Risk
Equatorial Guinea,High alcohol use,0.526803142,Cause
Equatorial Guinea,High body-mass index,1.252015748,Risk
Equatorial Guinea,High fasting plasma glucose,1.678779521,Risk
Equatorial Guinea,High systolic blood pressure,2.547476388,Risk
Equatorial Guinea,Intimate partner violence,0.353346466,Risk
Equatorial Guinea,Kidney dysfunction,1.002389762,Cause
Equatorial Guinea,Low bone mineral density,0.084141732,Risk
Equatorial Guinea,Low physical activity,0.088318898,Risk
Equatorial Guinea,Maternal and neonatal disorders,1.072118112,Cause
Equatorial Guinea,Mental disorders,0,Cause
Equatorial Guinea,Musculoskeletal disorders,0.014826772,Cause
Equatorial Guinea,Neglected tropical diseases and malaria,1.609133856,Cause
Equatorial Guinea,Neoplasms,1.448814962,Cause
Equatorial Guinea,Neurological disorders,0.315374018,Cause
Equatorial Guinea,Non-optimal temperature,0.025492126,Cause
Equatorial Guinea,Nutritional deficiencies,0.07207874,Cause
Equatorial Guinea,Occupational risks,0.14610236,Risk
Equatorial Guinea,Other environmental risks,0.22446063,Risk
Equatorial Guinea,Other infectious diseases,0.25615748,Cause
Equatorial Guinea,Other non-communicable diseases,0.373570866,Cause
Equatorial Guinea,PM2.5 relative to WHO guideline,2.44,Risk
Equatorial Guinea,Respiratory infections and tuberculosis,5.521492086,Cause
Equatorial Guinea,Self-harm and interpersonal violence,0.275996059,Cause
Equatorial Guinea,Skin and subcutaneous diseases,0.049937008,Cause
Equatorial Guinea,Substance use disorders,0.032330708,Cause
Equatorial Guinea,Tobacco,0.625003928,Risk
Equatorial Guinea,Transport injuries,0.723338574,Cause
Equatorial Guinea,Unintentional injuries,0.508437003,Cause
Equatorial Guinea,Unsafe sex,3.257263808,Risk
Equatorial Guinea,"Unsafe water, sanitation, and handwashing",0.32386614,Risk
Eritrea,Ambient ozone pollution,0.023031496,Risk
Eritrea,Cardiovascular diseases,3.460551197,Cause
Eritrea,Child and maternal malnutrition,1.652354328,Risk
Eritrea,Childhood sexual abuse and bullying,0.003507874,Cause
Eritrea,Chronic respiratory diseases,0.451283464,Cause
Eritrea,Diabetes and kidney diseases,0.865275592,Cause
Eritrea,Dietary risks,1.417468512,Risk
Eritrea,Digestive diseases,1.033212593,Cause
Eritrea,Drug use,0.041917322,Risk
Eritrea,Enteric infections,0.955700785,Cause
Eritrea,HIV/AIDS and sexually transmitted infections,0.397125987,Cause
Eritrea,High LDL cholesterol,0.286015748,Risk
Eritrea,High alcohol use,0.313704719,Cause
Eritrea,High body-mass index,0.388287405,Risk
Eritrea,High fasting plasma glucose,0.860562994,Risk
Eritrea,High systolic blood pressure,1.820874029,Risk
Eritrea,Intimate partner violence,0.053641734,Risk
Eritrea,Kidney dysfunction,0.538031496,Cause
Eritrea,Low bone mineral density,0.091047244,Risk
Eritrea,Low physical activity,0.020366142,Risk
Eritrea,Maternal and neonatal disorders,1.346114177,Cause
Eritrea,Mental disorders,0,Cause
Eritrea,Musculoskeletal disorders,0.006937008,Cause
Eritrea,Neglected tropical diseases and malaria,0.133110236,Cause
Eritrea,Neoplasms,1.635059068,Cause
Eritrea,Neurological disorders,0.29044882,Cause
Eritrea,Non-optimal temperature,0.322555118,Cause
Eritrea,Nutritional deficiencies,0.286795276,Cause
Eritrea,Occupational risks,0.208192911,Risk
Eritrea,Other environmental risks,0.25944882,Risk
Eritrea,Other infectious diseases,0.461566928,Cause
Eritrea,Other non-communicable diseases,0.492885826,Cause
Eritrea,PM2.5 relative to WHO guideline,0.69,Risk
Eritrea,Respiratory infections and tuberculosis,6.507208632,Cause
Eritrea,Self-harm and interpersonal violence,0.567519677,Cause
Eritrea,Skin and subcutaneous diseases,0.040366142,Cause
Eritrea,Substance use disorders,0.052822834,Cause
Eritrea,Tobacco,0.532334636,Risk
Eritrea,Transport injuries,0.530224403,Cause
Eritrea,Unintentional injuries,0.653251965,Cause
Eritrea,Unsafe sex,0.56600001,Risk
Eritrea,"Unsafe water, sanitation, and handwashing",1.186842517,Risk
Estonia,Ambient ozone pollution,0.004059195,Risk
Estonia,Cardiovascular diseases,9.156545859,Cause
Estonia,Child and maternal malnutrition,0.048,Risk
Estonia,Childhood sexual abuse and bullying,0.007118389,Cause
Estonia,Chronic respiratory diseases,0.159645803,Cause
Estonia,Diabetes and kidney diseases,0.65997477,Cause
Estonia,Dietary risks,2.585961185,Risk
Estonia,Digestive diseases,0.658853954,Cause
Estonia,Drug use,0.28760553,Risk
Estonia,Enteric infections,0.002485201,Cause
Estonia,HIV/AIDS and sexually transmitted infections,0.082077147,Cause
Estonia,High LDL cholesterol,0.944119359,Risk
Estonia,High alcohol use,0.982770012,Cause
Estonia,High body-mass index,1.950977198,Risk
Estonia,High fasting plasma glucose,0.949176614,Risk
Estonia,High systolic blood pressure,4.991295008,Risk
Estonia,Intimate partner violence,0.004852014,Risk
Estonia,Kidney dysfunction,0.919920913,Cause
Estonia,Low bone mineral density,0.052514799,Risk
Estonia,Low physical activity,0.114490539,Risk
Estonia,Maternal and neonatal disorders,0.049485201,Cause
Estonia,Mental disorders,0,Cause
Estonia,Musculoskeletal disorders,0.047378457,Cause
Estonia,Neglected tropical diseases and malaria,0,Cause
Estonia,Neoplasms,3.698745752,Cause
Estonia,Neurological disorders,0.752630278,Cause
Estonia,Non-optimal temperature,0.346283358,Cause
Estonia,Nutritional deficiencies,0.008940805,Cause
Estonia,Occupational risks,0.121338185,Risk
Estonia,Other environmental risks,0.253615235,Risk
Estonia,Other infectious diseases,0.028485201,Cause
Estonia,Other non-communicable diseases,0.214964095,Cause
Estonia,PM2.5 relative to WHO guideline,0.05,Risk
Estonia,Respiratory infections and tuberculosis,2.599093642,Cause
Estonia,Self-harm and interpersonal violence,0.378748179,Cause
Estonia,Skin and subcutaneous diseases,0.023426007,Cause
Estonia,Substance use disorders,0.326907811,Cause
Estonia,Tobacco,1.246156716,Risk
Estonia,Transport injuries,0.131083454,Cause
Estonia,Unintentional injuries,0.43865308,Cause
Estonia,Unsafe sex,0.114957788,Risk
Estonia,"Unsafe water, sanitation, and handwashing",0.003514799,Risk
Ethiopia,Ambient ozone pollution,0.028080292,Risk
Ethiopia,Cardiovascular diseases,2.740856457,Cause
Ethiopia,Child and maternal malnutrition,2.011878339,Risk
Ethiopia,Childhood sexual abuse and bullying,0.002513382,Cause
Ethiopia,Chronic respiratory diseases,0.417155717,Cause
Ethiopia,Diabetes and kidney diseases,1.075294404,Cause
Ethiopia,Dietary risks,1.503678838,Risk
Ethiopia,Digestive diseases,1.024562038,Cause
Ethiopia,Drug use,0.02683455,Risk
Ethiopia,Enteric infections,1.059661802,Cause
Ethiopia,HIV/AIDS and sexually transmitted infections,0.508364967,Cause
Ethiopia,High LDL cholesterol,0.205464721,Risk
Ethiopia,High alcohol use,0.450124081,Cause
Ethiopia,High body-mass index,0.400201948,Risk
Ethiopia,High fasting plasma glucose,0.873043795,Risk
Ethiopia,High systolic blood pressure,1.414289547,Risk
Ethiopia,Intimate partner violence,0.065206814,Risk
Ethiopia,Kidney dysfunction,0.718223845,Cause
Ethiopia,Low bone mineral density,0.116272506,Risk
Ethiopia,Low physical activity,0.050518249,Risk
Ethiopia,Maternal and neonatal disorders,1.974469582,Cause
Ethiopia,Mental disorders,0,Cause
Ethiopia,Musculoskeletal disorders,0.007406326,Cause
Ethiopia,Neglected tropical diseases and malaria,0.227379562,Cause
Ethiopia,Neoplasms,1.617997574,Cause
Ethiopia,Neurological disorders,0.446158153,Cause
Ethiopia,Non-optimal temperature,0.237737227,Cause
Ethiopia,Nutritional deficiencies,0.227192214,Cause
Ethiopia,Occupational risks,0.265795616,Risk
Ethiopia,Other environmental risks,0.351197081,Risk
Ethiopia,Other infectious diseases,0.625231142,Cause
Ethiopia,Other non-communicable diseases,0.584759124,Cause
Ethiopia,PM2.5 relative to WHO guideline,0.95,Risk
Ethiopia,Respiratory infections and tuberculosis,8.328909919,Cause
Ethiopia,Self-harm and interpersonal violence,0.727527972,Cause
Ethiopia,Skin and subcutaneous diseases,0.039647202,Cause
Ethiopia,Substance use disorders,0.032727494,Cause
Ethiopia,Tobacco,0.262009728,Risk
Ethiopia,Transport injuries,0.345586371,Cause
Ethiopia,Unintentional injuries,0.666532843,Cause
Ethiopia,Unsafe sex,0.584868621,Risk
Ethiopia,"Unsafe water, sanitation, and handwashing",1.20071533,Risk
Fiji,Ambient ozone pollution,0.003,Risk
Fiji,Cardiovascular diseases,6.319799235,Cause
Fiji,Child and maternal malnutrition,0.515065637,Risk
Fiji,Childhood sexual abuse and bullying,0,Cause
Fiji,Chronic respiratory diseases,0.713084943,Cause
Fiji,Diabetes and kidney diseases,4.113857136,Cause
Fiji,Dietary risks,2.922162165,Risk
Fiji,Digestive diseases,0.271432433,Cause
Fiji,Drug use,0.044521236,Risk
Fiji,Enteric infections,0.231613899,Cause
Fiji,HIV/AIDS and sexually transmitted infections,0.147135135,Cause
Fiji,High LDL cholesterol,1.289420855,Risk
Fiji,High alcohol use,0.14033977,Cause
Fiji,High body-mass index,3.878640921,Risk
Fiji,High fasting plasma glucose,5.658108102,Risk
Fiji,High systolic blood pressure,3.028953669,Risk
Fiji,Intimate partner violence,0.013513513,Risk
Fiji,Kidney dysfunction,1.108162163,Cause
Fiji,Low bone mineral density,0.026895753,Risk
Fiji,Low physical activity,0.337235519,Risk
Fiji,Maternal and neonatal disorders,0.551088802,Cause
Fiji,Mental disorders,0,Cause
Fiji,Musculoskeletal disorders,0.002895753,Cause
Fiji,Neglected tropical diseases and malaria,0.011965251,Cause
Fiji,Neoplasms,1.390123547,Cause
Fiji,Neurological disorders,0.208745173,Cause
Fiji,Non-optimal temperature,0.061482625,Cause
Fiji,Nutritional deficiencies,0.022930502,Cause
Fiji,Occupational risks,0.131779924,Risk
Fiji,Other environmental risks,0.09642085,Risk
Fiji,Other infectious diseases,0.114281854,Cause
Fiji,Other non-communicable diseases,0.357694981,Cause
Fiji,PM2.5 relative to WHO guideline,0,Risk
Fiji,Respiratory infections and tuberculosis,2.586926646,Cause
Fiji,Self-harm and interpersonal violence,0.285474905,Cause
Fiji,Skin and subcutaneous diseases,0.037069498,Cause
Fiji,Substance use disorders,0.003104247,Cause
Fiji,Tobacco,1.560679544,Risk
Fiji,Transport injuries,0.213127414,Cause
Fiji,Unintentional injuries,0.396474905,Cause
Fiji,Unsafe sex,0.238154438,Risk
Fiji,"Unsafe water, sanitation, and handwashing",0.199305019,Risk
Finland,Ambient ozone pollution,0.004537299,Risk
Finland,Cardiovascular diseases,5.985341297,Cause
Finland,Child and maternal malnutrition,0.057049732,Risk
Finland,Childhood sexual abuse and bullying,0.006537299,Cause
Finland,Chronic respiratory diseases,0.369964408,Cause
Finland,Diabetes and kidney diseases,0.256089712,Cause
Finland,Dietary risks,1.527855193,Risk
Finland,Digestive diseases,0.557387128,Cause
Finland,Drug use,0.232760117,Risk
Finland,Enteric infections,0.018437835,Cause
Finland,HIV/AIDS and sexually transmitted infections,0.004487567,Cause
Finland,High LDL cholesterol,0.85727255,Risk
Finland,High alcohol use,0.636932228,Cause
Finland,High body-mass index,0.911618235,Risk
Finland,High fasting plasma glucose,1.024980497,Risk
Finland,High systolic blood pressure,2.548598732,Risk
Finland,Intimate partner violence,0.007801073,Risk
Finland,Kidney dysfunction,0.581259386,Cause
Finland,Low bone mineral density,0.132074598,Risk
Finland,Low physical activity,0.112129693,Risk
Finland,Maternal and neonatal disorders,0.069074598,Cause
Finland,Mental disorders,9.75E-04,Cause
Finland,Musculoskeletal disorders,0.039577279,Cause
Finland,Neglected tropical diseases and malaria,0,Cause
Finland,Neoplasms,3.275541687,Cause
Finland,Neurological disorders,1.188465627,Cause
Finland,Non-optimal temperature,0.250129693,Cause
Finland,Nutritional deficiencies,0.005487567,Cause
Finland,Occupational risks,0.21794393,Risk
Finland,Other environmental risks,0.12012433,Risk
Finland,Other infectious diseases,0.029,Cause
Finland,Other non-communicable diseases,0.193139444,Cause
Finland,PM2.5 relative to WHO guideline,0,Risk
Finland,Respiratory infections and tuberculosis,0.482920039,Cause
Finland,Self-harm and interpersonal violence,0.41616236,Cause
Finland,Skin and subcutaneous diseases,0.012462701,Cause
Finland,Substance use disorders,0.309555826,Cause
Finland,Tobacco,0.873070697,Risk
Finland,Transport injuries,0.124004388,Cause
Finland,Unintentional injuries,0.438844466,Cause
Finland,Unsafe sex,0.025940517,Risk
Finland,"Unsafe water, sanitation, and handwashing",0.003,Risk
France,Ambient ozone pollution,0.022046875,Risk
France,Cardiovascular diseases,3.624714848,Cause
France,Child and maternal malnutrition,0.201089844,Risk
France,Childhood sexual abuse and bullying,0.001511719,Cause
France,Chronic respiratory diseases,0.403519531,Cause
France,Diabetes and kidney diseases,0.523203125,Cause
France,Dietary risks,1.123089844,Risk
France,Digestive diseases,0.602144531,Cause
France,Drug use,0.159453124,Risk
France,Enteric infections,0.025394531,Cause
France,HIV/AIDS and sexually transmitted infections,0.019140625,Cause
France,High LDL cholesterol,0.496285156,Risk
France,High alcohol use,0.653382809,Cause
France,High body-mass index,0.757562501,Risk
France,High fasting plasma glucose,0.729699219,Risk
France,High systolic blood pressure,1.464648439,Risk
France,Intimate partner violence,0.002929688,Risk
France,Kidney dysfunction,0.520593751,Cause
France,Low bone mineral density,0.175320313,Risk
France,Low physical activity,0.139992188,Risk
France,Maternal and neonatal disorders,0.142257812,Cause
France,Mental disorders,9.77E-04,Cause
France,Musculoskeletal disorders,0.063042969,Cause
France,Neglected tropical diseases and malaria,0.001,Cause
France,Neoplasms,4.819167962,Cause
France,Neurological disorders,1.229980473,Cause
France,Non-optimal temperature,0.27815625,Cause
France,Nutritional deficiencies,0.089808594,Cause
France,Occupational risks,0.402679685,Risk
France,Other environmental risks,0.165652344,Risk
France,Other infectious diseases,0.036488281,Cause
France,Other non-communicable diseases,0.309066406,Cause
France,PM2.5 relative to WHO guideline,0.2,Risk
France,Respiratory infections and tuberculosis,1.779648436,Cause
France,Self-harm and interpersonal violence,0.340707029,Cause
France,Skin and subcutaneous diseases,0.050695313,Cause
France,Substance use disorders,0.154917968,Cause
France,Tobacco,1.235312494,Risk
France,Transport injuries,0.162503905,Cause
France,Unintentional injuries,0.587957031,Cause
France,Unsafe sex,0.060621094,Risk
France,"Unsafe water, sanitation, and handwashing",0.006976563,Risk
Gabon,Ambient ozone pollution,0.012,Risk
Gabon,Cardiovascular diseases,5.023678854,Cause
Gabon,Child and maternal malnutrition,0.986668977,Risk
Gabon,Childhood sexual abuse and bullying,0.002010391,Cause
Gabon,Chronic respiratory diseases,0.364792182,Cause
Gabon,Diabetes and kidney diseases,1.709039091,Cause
Gabon,Dietary risks,1.381260759,Risk
Gabon,Digestive diseases,0.747369127,Cause
Gabon,Drug use,0.058051955,Risk
Gabon,Enteric infections,0.250484414,Cause
Gabon,HIV/AIDS and sexually transmitted infections,1.588106868,Cause
Gabon,High LDL cholesterol,0.463740227,Risk
Gabon,High alcohol use,0.750838205,Cause
Gabon,High body-mass index,1.728234532,Risk
Gabon,High fasting plasma glucose,1.904139041,Risk
Gabon,High systolic blood pressure,2.9178847,Risk
Gabon,Intimate partner violence,0.181098464,Risk
Gabon,Kidney dysfunction,1.214663532,Cause
Gabon,Low bone mineral density,0.089484414,Risk
Gabon,Low physical activity,0.056193468,Risk
Gabon,Maternal and neonatal disorders,0.982792182,Cause
Gabon,Mental disorders,0,Cause
Gabon,Musculoskeletal disorders,0.018844136,Cause
Gabon,Neglected tropical diseases and malaria,1.125993568,Cause
Gabon,Neoplasms,1.750493318,Cause
Gabon,Neurological disorders,0.372649182,Cause
Gabon,Non-optimal temperature,0.023463632,Cause
Gabon,Nutritional deficiencies,0.074041564,Cause
Gabon,Occupational risks,0.142872836,Risk
Gabon,Other environmental risks,0.219141514,Risk
Gabon,Other infectious diseases,0.260249382,Cause
Gabon,Other non-communicable diseases,0.410307768,Cause
Gabon,PM2.5 relative to WHO guideline,1.99,Risk
Gabon,Respiratory infections and tuberculosis,5.184119259,Cause
Gabon,Self-harm and interpersonal violence,0.331624941,Cause
Gabon,Skin and subcutaneous diseases,0.054359723,Cause
Gabon,Substance use disorders,0.038764968,Cause
Gabon,Tobacco,0.569564082,Risk
Gabon,Transport injuries,0.817973286,Cause
Gabon,Unintentional injuries,0.416122218,Cause
Gabon,Unsafe sex,1.572288459,Risk
Gabon,"Unsafe water, sanitation, and handwashing",0.326609105,Risk
Gambia,Ambient ozone pollution,0.02402439,Risk
Gambia,Cardiovascular diseases,5.392219525,Cause
Gambia,Child and maternal malnutrition,1.664463412,Risk
Gambia,Childhood sexual abuse and bullying,0.002536585,Cause
Gambia,Chronic respiratory diseases,0.480634146,Cause
Gambia,Diabetes and kidney diseases,0.948219512,Cause
Gambia,Dietary risks,1.664439027,Risk
Gambia,Digestive diseases,0.833707313,Cause
Gambia,Drug use,0.069390244,Risk
Gambia,Enteric infections,0.606634145,Cause
Gambia,HIV/AIDS and sexually transmitted infections,1.484634146,Cause
Gambia,High LDL cholesterol,0.586048781,Risk
Gambia,High alcohol use,0.444707311,Cause
Gambia,High body-mass index,0.920804883,Risk
Gambia,High fasting plasma glucose,1.087560977,Risk
Gambia,High systolic blood pressure,2.97017074,Risk
Gambia,Intimate partner violence,0.060487806,Risk
Gambia,Kidney dysfunction,0.866317072,Cause
Gambia,Low bone mineral density,0.09597561,Risk
Gambia,Low physical activity,0.05890244,Risk
Gambia,Maternal and neonatal disorders,1.767878054,Cause
Gambia,Mental disorders,0,Cause
Gambia,Musculoskeletal disorders,0.012219512,Cause
Gambia,Neglected tropical diseases and malaria,0.720634146,Cause
Gambia,Neoplasms,1.087170732,Cause
Gambia,Neurological disorders,0.27197561,Cause
Gambia,Non-optimal temperature,0.165658536,Cause
Gambia,Nutritional deficiencies,0.107853659,Cause
Gambia,Occupational risks,0.125975608,Risk
Gambia,Other environmental risks,0.374756097,Risk
Gambia,Other infectious diseases,0.39004878,Cause
Gambia,Other non-communicable diseases,0.511951221,Cause
Gambia,PM2.5 relative to WHO guideline,0.19,Risk
Gambia,Respiratory infections and tuberculosis,5.604560952,Cause
Gambia,Self-harm and interpersonal violence,0.165585364,Cause
Gambia,Skin and subcutaneous diseases,0.00304878,Cause
Gambia,Substance use disorders,0.029,Cause
Gambia,Tobacco,0.692317065,Risk
Gambia,Transport injuries,0.416536581,Cause
Gambia,Unintentional injuries,0.568390241,Cause
Gambia,Unsafe sex,1.419975613,Risk
Gambia,"Unsafe water, sanitation, and handwashing",0.741634145,Risk
Georgia,Ambient ozone pollution,0.016131528,Risk
Georgia,Cardiovascular diseases,7.373371368,Cause
Georgia,Child and maternal malnutrition,0.294295938,Risk
Georgia,Childhood sexual abuse and bullying,5.16E-04,Cause
Georgia,Chronic respiratory diseases,0.172249516,Cause
Georgia,Diabetes and kidney diseases,0.466398453,Cause
Georgia,Dietary risks,1.905444871,Risk
Georgia,Digestive diseases,0.614197287,Cause
Georgia,Drug use,0.120916826,Risk
Georgia,Enteric infections,0.004483559,Cause
Georgia,HIV/AIDS and sexually transmitted infections,0.022812379,Cause
Georgia,High LDL cholesterol,0.797495162,Risk
Georgia,High alcohol use,0.543557052,Cause
Georgia,High body-mass index,1.06752418,Risk
Georgia,High fasting plasma glucose,0.823543521,Risk
Georgia,High systolic blood pressure,3.683831721,Risk
Georgia,Intimate partner violence,0.001934236,Risk
Georgia,Kidney dysfunction,0.750056093,Cause
Georgia,Low bone mineral density,0.055263056,Risk
Georgia,Low physical activity,0.092980658,Risk
Georgia,Maternal and neonatal disorders,0.356197292,Cause
Georgia,Mental disorders,0,Cause
Georgia,Musculoskeletal disorders,0.004417795,Cause
Georgia,Neglected tropical diseases and malaria,0.01716441,Cause
Georgia,Neoplasms,2.613189553,Cause
Georgia,Neurological disorders,0.324856869,Cause
Georgia,Non-optimal temperature,0.41001354,Cause
Georgia,Nutritional deficiencies,0.001483559,Cause
Georgia,Occupational risks,0.133410056,Risk
Georgia,Other environmental risks,0.334634429,Risk
Georgia,Other infectious diseases,0.060427466,Cause
Georgia,Other non-communicable diseases,0.231516441,Cause
Georgia,PM2.5 relative to WHO guideline,0.85,Risk
Georgia,Respiratory infections and tuberculosis,3.992458416,Cause
Georgia,Self-harm and interpersonal violence,0.202593808,Cause
Georgia,Skin and subcutaneous diseases,0.008450677,Cause
Georgia,Substance use disorders,0.034690522,Cause
Georgia,Tobacco,1.817375217,Risk
Georgia,Transport injuries,0.384727268,Cause
Georgia,Unintentional injuries,0.421806572,Cause
Georgia,Unsafe sex,0.095139267,Risk
Georgia,"Unsafe water, sanitation, and handwashing",0.01,Risk
Germany,Ambient ozone pollution,0.03443309,Risk
Germany,Cardiovascular diseases,5.824323639,Cause
Germany,Child and maternal malnutrition,0.11313382,Risk
Germany,Childhood sexual abuse and bullying,0.015187348,Cause
Germany,Chronic respiratory diseases,0.606304137,Cause
Germany,Diabetes and kidney diseases,0.78019222,Cause
Germany,Dietary risks,1.598727499,Risk
Germany,Digestive diseases,0.66416545,Cause
Germany,Drug use,0.131065692,Risk
Germany,Enteric infections,0.040678832,Cause
Germany,HIV/AIDS and sexually transmitted infections,0.012620438,Cause
Germany,High LDL cholesterol,0.802272506,Risk
Germany,High alcohol use,0.745257901,Cause
Germany,High body-mass index,1.156900252,Risk
Germany,High fasting plasma glucose,1.338841857,Risk
Germany,High systolic blood pressure,2.795854037,Risk
Germany,Intimate partner violence,0.002919708,Risk
Germany,Kidney dysfunction,0.932447695,Cause
Germany,Low bone mineral density,0.141929441,Risk
Germany,Low physical activity,0.130425793,Risk
Germany,Maternal and neonatal disorders,0.124187348,Cause
Germany,Mental disorders,9.73E-04,Cause
Germany,Musculoskeletal disorders,0.034058395,Cause
Germany,Neglected tropical diseases and malaria,0.001,Cause
Germany,Neoplasms,4.208856452,Cause
Germany,Neurological disorders,1.399854031,Cause
Germany,Non-optimal temperature,0.393832119,Cause
Germany,Nutritional deficiencies,0.008919708,Cause
Germany,Occupational risks,0.276068123,Risk
Germany,Other environmental risks,0.144705596,Risk
Germany,Other infectious diseases,0.03243309,Cause
Germany,Other non-communicable diseases,0.311197081,Cause
Germany,PM2.5 relative to WHO guideline,0.24,Risk
Germany,Respiratory infections and tuberculosis,1.373177614,Cause
Germany,Self-harm and interpersonal violence,0.264077856,Cause
Germany,Skin and subcutaneous diseases,0.035245742,Cause
Germany,Substance use disorders,0.162194645,Cause
Germany,Tobacco,1.433503638,Risk
Germany,Transport injuries,0.112905108,Cause
Germany,Unintentional injuries,0.386223845,Cause
Germany,Unsafe sex,0.055389295,Risk
Germany,"Unsafe water, sanitation, and handwashing",0.004973236,Risk
Ghana,Ambient ozone pollution,0.017527969,Risk
Ghana,Cardiovascular diseases,5.300185479,Cause
Ghana,Child and maternal malnutrition,1.357739941,Risk
Ghana,Childhood sexual abuse and bullying,0.002527969,Cause
Ghana,Chronic respiratory diseases,0.262378803,Cause
Ghana,Diabetes and kidney diseases,1.123591756,Cause
Ghana,Dietary risks,1.087260059,Risk
Ghana,Digestive diseases,0.80660844,Cause
Ghana,Drug use,0.057888126,Risk
Ghana,Enteric infections,0.514005888,Cause
Ghana,HIV/AIDS and sexually transmitted infections,1.177281651,Cause
Ghana,High LDL cholesterol,0.621161923,Risk
Ghana,High alcohol use,0.510164866,Cause
Ghana,High body-mass index,0.926203141,Risk
Ghana,High fasting plasma glucose,1.33139156,Risk
Ghana,High systolic blood pressure,2.8637949,Risk
Ghana,Intimate partner violence,0.063788028,Risk
Ghana,Kidney dysfunction,0.851150147,Cause
Ghana,Low bone mineral density,0.086776251,Risk
Ghana,Low physical activity,0.098949951,Risk
Ghana,Maternal and neonatal disorders,1.37265162,Cause
Ghana,Mental disorders,0,Cause
Ghana,Musculoskeletal disorders,0.013416094,Cause
Ghana,Neglected tropical diseases and malaria,1.21478214,Cause
Ghana,Neoplasms,1.197699707,Cause
Ghana,Neurological disorders,0.26707949,Cause
Ghana,Non-optimal temperature,0.152863592,Cause
Ghana,Nutritional deficiencies,0.136291462,Cause
Ghana,Occupational risks,0.07695682,Risk
Ghana,Other environmental risks,0.226583906,Risk
Ghana,Other infectious diseases,0.336919529,Cause
Ghana,Other non-communicable diseases,0.641205103,Cause
Ghana,PM2.5 relative to WHO guideline,0.78,Risk
Ghana,Respiratory infections and tuberculosis,4.995908727,Cause
Ghana,Self-harm and interpersonal violence,0.198131501,Cause
Ghana,Skin and subcutaneous diseases,0.043105986,Cause
